name,allergens,ratings
Made to Order Cage Free Omelettes (Customize for veggie option),"['Dairy', 'Eggs', 'Pork', 'Soy', 'Vegan', 'Vegetarian']",[]
Omelettes Available Until 2pm,[],[]
Ice Cream Sundae Bar Available at 4pm,[],[]
Cheese Scrambled Eggs,"['Dairy', 'Eggs', 'Vegetarian']",[]
Boiled Eggs,"['Eggs', 'Vegetarian']",[]
Gardein Vegan Sausage Patty,"['Soy', 'Vegan', 'Wheat / Gluten']",[]
Buffalo Tater Tots,"['Dairy', 'Soy', 'Vegetarian']",[]
Biscuits and Gardein Veggie Ground Gravy,['Food Not Analyzed for Allergens'],[]
Asian Style Dressing,"['Sesame', 'Soy', 'Vegetarian']",[]
Blue Cheese Dressing,"['Dairy', 'Eggs', 'Soy', 'Vegetarian']",[]
Ranch Dressing,"['Dairy', 'Eggs', 'Soy', 'Vegetarian']",[]
Vegan Caesar Dressing,"['Soy', 'Vegan']",[]
Balsamic Vinaigrette,['Vegan'],[]
Red Wine Vinaigrette,"['Soy', 'Vegan']",[]
Bob's Red Mill Thick Cut Oatmeal,"['Vegan', 'Wheat / Gluten']",[]
Peanut Butter,"['Peanuts', 'Soy', 'Vegetarian']",[]
Strawberry Preserves,['Vegetarian'],[]
Strawberry Yogurt,['Dairy'],[]
Vanilla Yogurt,"['Dairy', 'Vegetarian']",[]
Assorted Fruits,['Vegan'],[]
Oat n' Honey Granola,"['Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Mustard Dijon,['Vegan'],[]
Mayonnaise,"['Eggs', 'Soy', 'Vegetarian']",[]
Tuna Salad,"['Eggs', 'Fish', 'Soy']",[]
Spiral Sliced Ham,['Pork'],[]
Sliced Turkey,[],[]
Dill Pickles,['Vegan'],[]
Sliced Onion,['Vegan'],[]
Assorted Sliced Cheese,"['Dairy', 'Vegetarian']",[]
Sliced Tomatoes,['Vegan'],[]
Lettuce,['Vegan'],[]
Sliced French Bread,"['Vegan', 'Wheat / Gluten']",[]
Sliced Sourdough Bread,"['Vegan', 'Wheat / Gluten']",[]
Sliced Multi Grain Bread,"['Vegetarian', 'Wheat / Gluten']",[]
Sliced Honey Wheat Bread,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Village Chicken Tamari Teriyaki,"['Sesame', 'Soy']",[]
Village Kalua Pork,"['Pork', 'Soy']",[]
Steamed White Rice,['Vegan'],[]
